자전거번호,대여일시,대여 대여소번호,대여 대여소명,대여거치대,반납일시,반납대여소번호,반납대여소명,반납거치대,이용시간(분),이용거리(M),생년,성별,이용자종류,대여대여소ID,반납대여소ID,자전거구분
SPB-04755,2017-09-01 00:01:49,00372,약수역 3번출구 뒤,7,2017-09-01 00:13:27,00569,응봉현대아파트 정류소,1,11,2200.00,1986,M,내국인,ST-187,ST-370,LCD자전거
SPB-03012,2017-09-01 00:01:30,00502,자양(뚝섬한강공원)역 1번출구 앞,12,2017-09-01 00:13:44,00515,광양중학교 앞,10,11,2520.00,1974,M,내국인,ST-99,ST-113,LCD자전거
SPB-03171,2017-09-01 00:11:08,01102,방화사거리 마을버스 버스정류장,4,2017-09-01 00:13:51,01103,방화역 4번출구앞,1,2,480.00,1977,M,내국인,ST-508,ST-831,LCD자전거
SPB-07826,2017-09-01 00:09:26,02054,삼익아파트,6,2017-09-01 00:14:05,02013,장승배기역 5번출구,25,4,560.00,1986,M,내국인,ST-700,ST-687,LCD자전거
SPB-02096,2017-09-01 00:06:00,00550,서울시설공단 앞,2,2017-09-01 00:14:07,00642,신답역 사거리,2,7,1440.00,1965,M,내국인,ST-251,ST-409,LCD자전거
SPB-01616,2017-09-01 00:09:22,00157,애오개역 4번출구 앞,6,2017-09-01 00:14:09,00143,공덕역 2번출구,9,4,1280.00,1987,M,내국인,ST-214,ST-201,LCD자전거
SPB-07620,2017-09-01 00:10:27,02259,잠원역 3번-4번 출구사이,10,2017-09-01 00:14:26,02217,아크로리버뷰 부지 앞,13,3,110.00,1975,M,내국인,ST-780,ST-749,LCD자전거
SPB-11317,2017-09-01 00:06:19,00194,증산교 앞,10,2017-09-01 00:14:50,00165,중앙근린공원,7,8,390.00,1982,M,내국인,ST-350,ST-222,LCD자전거
SPB-07486,2017-09-01 00:06:12,01318,길음역 3번출구 뒤,5,2017-09-01 00:15:21,01319,종암박스파크,8,8,480.00,1987,M,내국인,ST-563,ST-564,LCD자전거
SPB-09031,2017-09-01 00:02:55,01610,화랑대역 2번출구 앞,5,2017-09-01 00:15:28,01601,석계역 문화광장 내 자전거 보관소,16,11,880.00,1993,M,내국인,ST-603,ST-600,LCD자전거
SPB-11786,2017-09-01 00:08:33,00169,북가좌 삼거리,1,2017-09-01 00:15:30,00166,가재울 초등학교,7,6,790.00,1975,M,내국인,ST-226,ST-223,LCD자전거
SPB-02564,2017-09-01 00:12:13,00115,마스타 빌딩 앞,7,2017-09-01 00:15:46,00114,홍대입구역 8번출구 앞,13,3,370.00,1978,M,내국인,ST-12,ST-20,LCD자전거
SPB-04822,2017-09-01 00:06:32,00224,롯데캐슬 앞,1,2017-09-01 00:16:12,00259,대방역6번출구,5,9,1130.00,1991,M,내국인,ST-70,ST-307,LCD자전거
SPB-02822,2017-09-01 00:09:45,01908,해원리바파크 육교 밑,1,2017-09-01 00:16:15,01907,구일우성(아) 육교 밑,12,6,1140.00,\N,\N,비회원,ST-666,ST-665,LCD자전거
SPB-10943,2017-09-01 00:05:01,00819,선린인터넷 고등학교,2,2017-09-01 00:16:24,00818,숙명여대 입구 교차로,8,11,500.00,1991,M,내국인,ST-438,ST-437,LCD자전거
SPB-02625,2017-09-01 00:03:46,00914,새절역 2번출구,3,2017-09-01 00:16:36,00933,역촌종합시장 버스정류장(예일여고 방면),10,12,2830.00,\N,\N,비회원,ST-462,ST-481,LCD자전거
SPB-01709,2017-09-01 00:03:24,00579,마장역 4번출구,5,2017-09-01 00:16:37,00529,장한평역 8번 출구 앞,4,12,2610.00,1996,M,내국인,ST-372,ST-243,LCD자전거
SPB-02710,2017-09-01 00:03:49,00914,새절역 2번출구,5,2017-09-01 00:16:40,00933,역촌종합시장 버스정류장(예일여고 방면),8,12,2840.00,\N,\N,비회원,ST-462,ST-481,LCD자전거
SPB-00205,2017-09-01 00:07:32,00152,마포구민체육센터 앞,3,2017-09-01 00:16:44,00152,마포구민체육센터 앞,4,8,20.00,\N,\N,비회원,ST-209,ST-209,LCD자전거
SPB-04734,2017-09-01 00:09:06,00262,영문초등학교 사거리,5,2017-09-01 00:16:45,00265,영등포유통상가 사거리,2,7,1930.00,1988,F,내국인,ST-416,ST-419,LCD자전거
SPB-07647,2017-09-01 00:11:07,02212,서초현대4차아파트 201동 맞은편,1,2017-09-01 00:16:47,02211,서초구립반포도서관 앞,9,5,30.00,1993,M,내국인,ST-746,ST-927,LCD자전거
SPB-04556,2017-09-01 00:01:34,01124,발산역 6번 출구 뒤,1,2017-09-01 00:16:47,01118,증미역 3번출구뒤(등촌두산위브센티움오피스텔),10,14,2760.00,1980,M,내국인,ST-522,ST-516,LCD자전거
SPB-06902,2017-09-01 00:00:36,00914,새절역 2번출구,2,2017-09-01 00:16:49,00933,역촌종합시장 버스정류장(예일여고 방면),4,15,2870.00,\N,\N,비회원,ST-462,ST-481,LCD자전거
SPB-06951,2017-09-01 00:07:46,00353,재동초교 앞 삼거리,3,2017-09-01 00:17:00,00359,원남동사거리,7,8,1580.00,1994,M,내국인,ST-169,ST-174,LCD자전거
SPB-12408,2017-09-01 00:03:31,00194,증산교 앞,6,2017-09-01 00:17:18,00170,DMC파크뷰자이아파트 302동 앞,9,13,980.00,1996,M,내국인,ST-350,ST-227,LCD자전거
SPB-05547,2017-09-01 00:04:02,00247,당산역 10번출구 앞,12,2017-09-01 00:17:19,00232,양평우림 이비즈센타 앞,14,12,2160.00,1995,F,내국인,ST-295,ST-281,LCD자전거
SPB-01842,2017-09-01 00:12:31,00347,동대문역사문화공원역 9번출구 앞,5,2017-09-01 00:17:19,00371,동대입구역 6번출구 뒤,10,4,800.00,1990,M,내국인,ST-163,ST-186,LCD자전거
SPB-12191,2017-09-01 00:03:53,00166,가재울 초등학교,7,2017-09-01 00:17:34,00184,망원우체국사거리 인근,2,13,1370.00,1990,M,내국인,ST-223,ST-342,LCD자전거
SPB-00566,2017-09-01 00:10:07,01514,강북구청 사거리 버스정류소 앞,4,2017-09-01 00:17:42,01511,번동 금호어울림아파트102동앞,8,7,1310.00,1989,F,내국인,ST-646,ST-861,LCD자전거
SPB-00907,2017-09-01 00:08:09,02140,신림1교 교차로,1,2017-09-01 00:17:48,02106,세이브마트,12,9,2130.00,1995,M,내국인,ST-724,ST-705,LCD자전거
SPB-12092,2017-09-01 00:10:32,00381,장충체육관,3,2017-09-01 00:17:49,00373,청구 어린이공원,1,7,1030.00,1956,M,내국인,ST-196,ST-188,LCD자전거
SPB-00761,2017-09-01 00:13:45,00247,당산역 10번출구 앞,7,2017-09-01 00:17:56,00244,영등포삼환아파트 앞,4,3,600.00,1983,M,내국인,ST-295,ST-293,LCD자전거
SPB-11480,2017-09-01 00:03:23,00906,연신내역 5번출구,10,2017-09-01 00:18:07,00931,역촌파출소,1,14,110.00,1972,M,내국인,ST-454,ST-479,LCD자전거
SPB-02222,2017-09-01 00:10:34,01306,한성대입구역2번출구,4,2017-09-01 00:18:11,00386,올림픽기념 국민생활관 앞,10,7,1250.00,1993,M,내국인,ST-842,ST-337,LCD자전거
SPB-11810,2017-09-01 00:13:30,00247,당산역 10번출구 앞,6,2017-09-01 00:18:18,00244,영등포삼환아파트 앞,19,4,200.00,1983,M,내국인,ST-295,ST-293,LCD자전거
SPB-01366,2017-09-01 00:09:31,00257,신길삼거리(우리은행),6,2017-09-01 00:18:35,00258,신길역3번출구,5,8,1310.00,1990,M,내국인,ST-305,ST-306,LCD자전거
SPB-01261,2017-09-01 00:11:01,00706,신정네거리역,2,2017-09-01 00:18:35,00712,강월초교입구 사거리,8,7,1510.00,1975,M,내국인,ST-313,ST-319,LCD자전거
SPB-02655,2017-09-01 00:04:31,01318,길음역 3번출구 뒤,9,2017-09-01 00:18:43,01515,송천동 주민센터,1,13,2390.00,1998,M,내국인,ST-563,ST-648,LCD자전거
SPB-08785,2017-09-01 00:01:46,00153,성산2교 사거리,7,2017-09-01 00:19:04,00138,신촌동 제1공영주차장 앞,3,16,2910.00,1995,F,내국인,ST-210,ST-40,LCD자전거
SPB-08117,2017-09-01 00:01:12,01224,아시아지하보도 2번 출구,1,2017-09-01 00:19:22,00505,자양사거리 광진아크로텔 앞,5,16,2120.00,1989,M,내국인,ST-548,ST-102,LCD자전거
SPB-05205,2017-09-01 00:06:04,02116,에이스에이존빌딩,3,2017-09-01 00:19:30,02102,봉림교 교통섬,15,13,2470.00,1989,F,내국인,ST-717,ST-702,LCD자전거
SPB-03742,2017-09-01 00:04:32,00546,잠실대교북단 교차로,6,2017-09-01 00:19:41,09998,영남센터,3,14,2530.00,2000,F,내국인,ST-257,ST-380,LCD자전거
SPB-06287,2017-09-01 00:10:19,00178,증산3교 앞,6,2017-09-01 00:19:41,00914,새절역 2번출구,2,8,1700.00,1987,F,내국인,ST-349,ST-462,LCD자전거
SPB-06227,2017-09-01 00:05:30,02116,에이스에이존빌딩,7,2017-09-01 00:19:43,02102,봉림교 교통섬,14,13,2540.00,1986,M,내국인,ST-717,ST-702,LCD자전거
SPB-12135,2017-09-01 00:16:54,00906,연신내역 5번출구,2,2017-09-01 00:19:50,00908,구산역 4번출구,8,2,330.00,1978,M,내국인,ST-454,ST-456,LCD자전거
SPB-00523,2017-09-01 00:07:41,00362,청계8가사거리 A,3,2017-09-01 00:19:55,00374,신당동주민센터앞,10,11,1870.00,1983,M,내국인,ST-176,ST-189,LCD자전거
SPB-01647,2017-09-01 00:16:29,01611,과기대 입구(우),11,2017-09-01 00:20:02,01611,과기대 입구(우),17,3,200.00,1992,M,내국인,ST-604,ST-604,LCD자전거
SPB-11076,2017-09-01 00:10:03,00178,증산3교 앞,7,2017-09-01 00:20:18,00914,새절역 2번출구,7,9,660.00,1987,F,내국인,ST-349,ST-462,LCD자전거
SPB-06443,2017-09-01 00:08:12,01602,광운대역 앞,13,2017-09-01 00:20:31,01601,석계역 문화광장 내 자전거 보관소,1,12,1380.00,1984,M,내국인,ST-913,ST-600,LCD자전거
