자전거번호,대여일시,대여 대여소번호,대여 대여소명,대여거치대,반납일시,반납대여소번호,반납대여소명,반납거치대,이용시간(분),이용거리(M),생년,성별,이용자종류,대여대여소ID,반납대여소ID,자전거구분
SPB-02255,2017-09-01 00:24:13,02116,에이스에이존빌딩,4,2017-09-01 00:39:28,02114,관악구 재활용센터,5,14,4010.00,1985,M,내국인,ST-717,ST-716,LCD자전거
SPB-11973,2017-09-01 00:27:13,00508,성수아카데미타워 앞,1,2017-09-01 00:39:29,00509,이마트 버스정류소 옆,2,11,670.00,1986,M,내국인,ST-105,ST-106,LCD자전거
SPB-06850,2017-09-01 00:11:21,00342,대학로 마로니에공원,1,2017-09-01 00:39:39,01305,성북구청,1,27,4700.00,1990,F,내국인,ST-158,ST-947,LCD자전거
SPB-11680,2017-09-01 00:10:00,00302,경복궁역 6번출구 뒤,3,2017-09-01 00:39:42,00446,상명대입구,10,28,1120.00,1995,M,내국인,ST-118,ST-938,LCD자전거
SPB-06308,2017-09-01 00:16:36,00401,상암월드컵파크 10단지 앞,8,2017-09-01 00:39:43,00131,증산2교,7,22,3710.00,1984,F,내국인,ST-76,ST-33,LCD자전거
SPB-06215,2017-09-01 00:30:13,00400,상암한화오벨리스크 1차 앞,13,2017-09-01 00:39:45,00409,누리꿈스퀘어 옆,25,9,1510.00,1954,M,내국인,ST-110,ST-86,LCD자전거
SPB-06770,2017-09-01 00:08:56,00529,장한평역 8번 출구 앞,12,2017-09-01 00:39:49,00607,신이문역 2번출구,1,30,6880.00,1977,M,내국인,ST-243,ST-267,LCD자전거
SPB-06829,2017-09-01 00:18:39,00113,홍대입구역 2번출구 앞,19,2017-09-01 00:39:51,00159,이대역 4번 출구,1,20,2520.00,1979,F,내국인,ST-18,ST-216,LCD자전거
SPB-03954,2017-09-01 00:25:26,01403,중화빌딩 앞 (동부시장),6,2017-09-01 00:39:54,00602,장안동 사거리,5,14,3240.00,1969,M,내국인,ST-566,ST-262,LCD자전거
SPB-02564,2017-09-01 00:22:21,00114,홍대입구역 8번출구 앞,13,2017-09-01 00:39:57,00175,홍연2교옆,15,17,3490.00,1993,M,내국인,ST-20,ST-231,LCD자전거
SPB-08518,2017-09-01 00:28:42,02348,포스코사거리(기업은행),1,2017-09-01 00:40:03,02309,청담역(우리들병원 앞),1,11,690.00,1992,M,내국인,ST-797,ST-783,LCD자전거
SPB-06666,2017-09-01 00:16:02,00302,경복궁역 6번출구 뒤,5,2017-09-01 00:40:08,00446,상명대입구,9,23,3560.00,1995,M,내국인,ST-118,ST-938,LCD자전거
SPB-00388,2017-09-01 00:21:06,00561,서울숲역 2번출구 앞,7,2017-09-01 00:40:13,00535,응봉삼거리,10,18,2550.00,1989,M,내국인,ST-362,ST-247,LCD자전거
SPB-07849,2017-09-01 00:30:13,00614,용두동 사거리,20,2017-09-01 00:40:15,00364,창신역 1번출구 앞,8,9,1000.00,1991,M,내국인,ST-273,ST-178,LCD자전거
SPB-12293,2017-09-01 00:35:01,01908,해원리바파크 육교 밑,9,2017-09-01 00:40:16,01907,구일우성(아) 육교 밑,11,4,840.00,1970,M,내국인,ST-666,ST-665,LCD자전거
SPB-00113,2017-09-01 00:25:37,00502,자양(뚝섬한강공원)역 1번출구 앞,1,2017-09-01 00:40:26,00584,광진광장 교통섬,6,14,2110.00,1994,M,내국인,ST-99,ST-445,LCD자전거
SPB-02481,2017-09-01 00:25:42,00502,자양(뚝섬한강공원)역 1번출구 앞,2,2017-09-01 00:40:28,00584,광진광장 교통섬,4,14,0.00,1993,F,내국인,ST-99,ST-445,LCD자전거
SPB-12409,2017-09-01 00:28:07,02211,서초구립반포도서관 앞,4,2017-09-01 00:40:33,02302,교보타워 버스정류장(신논현역 3번출구 후면),5,11,300.00,1977,M,내국인,ST-927,ST-787,LCD자전거
SPB-06757,2017-09-01 00:28:04,00562,군자지하보도 앞,4,2017-09-01 00:40:34,00549,아차산역 3번출구,8,12,1900.00,1983,M,내국인,ST-363,ST-259,LCD자전거
SPB-00119,2017-09-01 00:17:52,00236,문래동자이아파트 앞,10,2017-09-01 00:40:37,00700,KB국민은행 염창역 지점 앞,4,22,5380.00,1992,M,내국인,ST-285,ST-308,LCD자전거
SPB-03184,2017-09-01 00:28:45,00525,한양대병원사거리,5,2017-09-01 00:40:39,00642,신답역 사거리,3,11,1820.00,1994,M,내국인,ST-241,ST-409,LCD자전거
SPB-01873,2017-09-01 00:24:18,00529,장한평역 8번 출구 앞,1,2017-09-01 00:40:41,00643,동대문구민체육센터 (육교아래),1,16,2250.00,1991,M,내국인,ST-243,ST-410,LCD자전거
SPB-03940,2017-09-01 00:32:07,00922,연신내역 4번출구,1,2017-09-01 00:40:42,00925,불광역 2번출구,6,8,1340.00,1987,M,내국인,ST-470,ST-473,LCD자전거
SPB-07890,2017-09-01 00:22:22,00354,포르투갈 대사관 앞,4,2017-09-01 00:40:43,00160,북아현동 가구거리,19,17,2650.00,1987,M,내국인,ST-170,ST-217,LCD자전거
SPB-01436,2017-09-01 00:29:24,00414,상암동주민센터 옆,7,2017-09-01 00:40:54,00155,가좌역1 번출구 앞,1,11,2430.00,1979,F,내국인,ST-94,ST-212,LCD자전거
SPB-06552,2017-09-01 00:36:13,00116,일진아이윌아파트 옆,3,2017-09-01 00:40:57,00113,홍대입구역 2번출구 앞,5,4,1050.00,1979,M,내국인,ST-14,ST-18,LCD자전거
SPB-00873,2017-09-01 00:34:55,01006,롯데캐슬 115동앞,1,2017-09-01 00:41:01,01004,삼성광나루아파트 버스정류장,6,5,1440.00,1985,F,내국인,ST-490,ST-488,LCD자전거
SPB-01572,2017-09-01 00:36:53,02116,에이스에이존빌딩,9,2017-09-01 00:41:03,02108,은천치안센터,12,3,0.00,1996,M,내국인,ST-717,ST-714,LCD자전거
SPB-12322,2017-09-01 00:26:51,00120,신수동 사거리,2,2017-09-01 00:41:03,00115,마스타 빌딩 앞,11,11,700.00,1992,F,내국인,ST-22,ST-12,LCD자전거
SPB-11455,2017-09-01 00:31:41,00500,어린이대공원역 3번출구 앞,8,2017-09-01 00:41:33,09998,영남센터,9,9,880.00,1989,M,내국인,ST-97,ST-380,LCD자전거
SPB-06715,2017-09-01 00:30:28,00138,신촌동 제1공영주차장 앞,2,2017-09-01 00:41:51,00138,신촌동 제1공영주차장 앞,1,11,2560.00,1996,M,내국인,ST-40,ST-40,LCD자전거
SPB-05853,2017-09-01 00:35:03,00150,서강대역 2번출구 앞,13,2017-09-01 00:41:56,00118,광흥창역 2번출구 앞,8,6,800.00,1992,M,내국인,ST-207,ST-19,LCD자전거
SPB-12087,2017-09-01 00:38:56,00908,구산역 4번출구,10,2017-09-01 00:41:59,00933,역촌종합시장 버스정류장(예일여고 방면),1,2,200.00,1972,M,내국인,ST-456,ST-481,LCD자전거
SPB-05608,2017-09-01 00:29:41,00244,영등포삼환아파트 앞,1,2017-09-01 00:42:03,00213,KT앞,10,11,2380.00,1994,F,내국인,ST-293,ST-59,LCD자전거
SPB-06274,2017-09-01 00:31:38,00346,맥스타일 앞,2,2017-09-01 00:42:18,00613,신설동역 10번출구 앞,2,10,1780.00,1978,M,내국인,ST-162,ST-272,LCD자전거
SPB-06686,2017-09-01 00:02:14,00358,성균관대입구 사거리 A,4,2017-09-01 00:42:20,00341,혜화역 3번출구 뒤,9,38,1360.00,1981,M,내국인,ST-173,ST-157,LCD자전거
SPB-05470,2017-09-01 00:28:40,00377,서울역 5번출구 앞,7,2017-09-01 00:42:34,00348,독립문역 사거리,2,13,2550.00,1989,F,내국인,ST-192,ST-183,LCD자전거
SPB-05753,2017-09-01 00:19:11,00372,약수역 3번출구 뒤,5,2017-09-01 00:42:44,00334,종로3가역 2번출구 뒤,1,23,4080.00,1996,F,내국인,ST-187,ST-150,LCD자전거
SPB-06352,2017-09-01 00:21:43,00346,맥스타일 앞,2,2017-09-01 00:42:46,00614,용두동 사거리,5,20,2420.00,1995,F,내국인,ST-162,ST-273,LCD자전거
SPB-10598,2017-09-01 00:26:09,02137,KT&G 관악지점,8,2017-09-01 00:42:55,02122,낙성대로 입구,1,15,620.00,1991,M,내국인,ST-723,ST-719,LCD자전거
SPB-11351,2017-09-01 00:33:23,00232,양평우림 이비즈센타 앞,9,2017-09-01 00:42:58,00239,유스호스텔 앞,19,9,630.00,1988,M,내국인,ST-281,ST-288,LCD자전거
SPB-05103,2017-09-01 00:36:57,00263,근로자회관 사거리,9,2017-09-01 00:43:14,00266,영등포청과시장 사거리,1,5,1590.00,1978,M,내국인,ST-417,ST-420,LCD자전거
SPB-02575,2017-09-01 00:27:14,00525,한양대병원사거리,11,2017-09-01 00:43:26,00513,뚝섬역 5번 출구 정류소 옆,8,15,1940.00,\N,\N,비회원,ST-241,ST-111,LCD자전거
SPB-11494,2017-09-01 00:37:03,01305,성북구청,8,2017-09-01 00:43:27,00363,신설동역 11번출구 뒤,1,5,1090.00,1982,M,내국인,ST-947,ST-177,LCD자전거
SPB-12298,2017-09-01 00:29:32,02103,신림동 우방아파트,1,2017-09-01 00:43:41,02107,도림천 신화교,2,13,1440.00,1988,M,내국인,ST-703,ST-713,LCD자전거
SPB-01004,2017-09-01 00:18:03,01124,발산역 6번 출구 뒤,9,2017-09-01 00:43:51,01140,목동사거리 버스정류장,5,25,5030.00,1979,F,내국인,ST-522,ST-534,LCD자전거
SPB-12509,2017-09-01 00:14:31,00356,KT혜화지사 앞,7,2017-09-01 00:44:07,00158,독립문 어린이 공원,3,26,1230.00,1990,F,내국인,ST-172,ST-215,LCD자전거
SPB-06238,2017-09-01 00:32:57,01012,천호역효성해링턴타워 앞,6,2017-09-01 00:44:08,01018,둔촌 주공 GS 맞은편,2,10,2350.00,1998,M,내국인,ST-496,ST-830,LCD자전거
SPB-03548,2017-09-01 00:12:38,00927,연신내역 3번출구 인근,4,2017-09-01 00:44:25,00903,은평뉴타운 아이파크,11,31,5660.00,1996,F,내국인,ST-475,ST-451,LCD자전거
SPB-02424,2017-09-01 00:41:08,00247,당산역 10번출구 앞,1,2017-09-01 00:44:27,00247,당산역 10번출구 앞,9,2,0.00,1992,F,내국인,ST-295,ST-295,LCD자전거
SPB-11210,2017-09-01 00:09:33,00927,연신내역 3번출구 인근,3,2017-09-01 00:44:27,00903,은평뉴타운 아이파크,4,35,1980.00,\N,\N,비회원,ST-475,ST-451,LCD자전거
SPB-04307,2017-09-01 00:38:32,00266,영등포청과시장 사거리,3,2017-09-01 00:44:31,00245,삼성생명 당산사옥 앞,1,5,1360.00,1992,M,내국인,ST-420,ST-294,LCD자전거
SPB-11620,2017-09-01 00:30:50,00411,DMC홍보관,9,2017-09-01 00:44:43,00103,망원역 2번출구 앞,1,14,2830.00,1973,M,내국인,ST-90,ST-5,LCD자전거
SPB-05581,2017-09-01 00:22:13,00143,공덕역 2번출구,4,2017-09-01 00:44:43,00114,홍대입구역 8번출구 앞,4,22,3310.00,1995,M,내국인,ST-201,ST-20,LCD자전거
SPB-00547,2017-09-01 00:34:39,00616,서울시립대 정문 앞 A,7,2017-09-01 00:44:48,00624,전농동 동아아파트 앞,3,9,1450.00,1981,F,내국인,ST-275,ST-392,LCD자전거
SPB-06482,2017-09-01 00:33:33,01712,창동역공영주차장앞,5,2017-09-01 00:44:49,01705,도봉구청 정문앞,2,10,1970.00,1995,F,내국인,ST-617,ST-614,LCD자전거
SPB-01881,2017-09-01 00:34:36,00150,서강대역 2번출구 앞,8,2017-09-01 00:44:49,00122,신성기사식당 앞,4,9,1260.00,\N,\N,비회원,ST-207,ST-24,LCD자전거
SPB-07523,2017-09-01 00:40:32,00107,수협 연남동지점,4,2017-09-01 00:44:59,00103,망원역 2번출구 앞,6,4,420.00,1992,M,내국인,ST-9,ST-5,LCD자전거
SPB-11788,2017-09-01 00:35:45,00138,신촌동 제1공영주차장 앞,6,2017-09-01 00:45:03,99999,영남센터,2,9,850.00,1991,M,내국인,ST-40,ST-229,LCD자전거
SPB-05083,2017-09-01 00:14:50,00102,망원역 1번출구 앞,10,2017-09-01 00:45:05,00188,홍은동 정원여중 입구,8,29,5950.00,1996,F,내국인,ST-4,ST-346,LCD자전거
SPB-05822,2017-09-01 00:14:50,00152,마포구민체육센터 앞,18,2017-09-01 00:45:10,00201,진미파라곤 앞,4,30,6450.00,1982,M,내국인,ST-209,ST-46,LCD자전거
SPB-03183,2017-09-01 00:34:34,01210,롯데월드타워(잠실역2번출구 쪽),23,2017-09-01 00:45:15,01235,잠실트리지움310동 옆,1,10,1850.00,1990,F,내국인,ST-891,ST-553,LCD자전거
SPB-02871,2017-09-01 00:31:22,01606,태릉입구역 3번출구,2,2017-09-01 00:45:23,01433,중화역 2번출구,6,13,2200.00,1992,M,내국인,ST-602,ST-857,LCD자전거
SPB-06134,2017-09-01 00:41:39,99998,상암센터,6,2017-09-01 00:45:28,99998,상암센터,3,3,30.00,\N,M,비회원,ST-34,ST-34,LCD자전거
SPB-00353,2017-09-01 00:18:05,00152,마포구민체육센터 앞,3,2017-09-01 00:45:28,00201,진미파라곤 앞,6,27,6500.00,1988,M,내국인,ST-209,ST-46,LCD자전거
SPB-02572,2017-09-01 00:38:48,01126,우장산역 1번출구옆(우장산아이파크105동앞),6,2017-09-01 00:45:38,01124,발산역 6번 출구 뒤,10,6,1090.00,1967,M,내국인,ST-523,ST-522,LCD자전거
SPB-12380,2017-09-01 00:20:33,00184,망원우체국사거리 인근,1,2017-09-01 00:45:43,00116,일진아이윌아파트 옆,3,25,930.00,1994,M,내국인,ST-342,ST-14,LCD자전거
SPB-01366,2017-09-01 00:31:23,00258,신길역3번출구,5,2017-09-01 00:45:46,00259,대방역6번출구,6,13,2230.00,\N,\N,비회원,ST-306,ST-307,LCD자전거
SPB-05306,2017-09-01 00:17:19,01623,노원 구민회관,3,2017-09-01 00:45:46,01606,태릉입구역 3번출구,10,28,2540.00,1980,M,내국인,ST-607,ST-602,LCD자전거
SPB-04601,2017-09-01 00:27:29,00552,대림아크로리버 앞,7,2017-09-01 00:45:46,00573,구의문주차장 앞,1,17,2280.00,1989,M,내국인,ST-378,ST-384,LCD자전거
SPB-08841,2017-09-01 00:08:36,00634,외국어대 정문 앞,7,2017-09-01 00:45:48,00615,용두동 래미안허브리츠아파트 앞,8,34,2600.00,1995,M,내국인,ST-401,ST-274,LCD자전거
SPB-06084,2017-09-01 00:29:34,00263,근로자회관 사거리,3,2017-09-01 00:45:49,00244,영등포삼환아파트 앞,13,15,3130.00,1991,M,내국인,ST-417,ST-293,LCD자전거
SPB-02214,2017-09-01 00:34:02,00387,훈련원공원주차장 앞,2,2017-09-01 00:45:53,00383,신당역 12번 출구 뒤,4,11,1320.00,1997,F,내국인,ST-338,ST-198,LCD자전거
SPB-05360,2017-09-01 00:19:40,00628,휘봉고등학교 앞,15,2017-09-01 00:46:06,00612,시립동부병원 앞 사거리,14,26,5090.00,\N,\N,비회원,ST-396,ST-271,LCD자전거
SPB-07772,2017-09-01 00:04:09,01124,발산역 6번 출구 뒤,10,2017-09-01 00:46:13,01110,공항중학교앞,2,38,810.00,\N,\N,비회원,ST-522,ST-828,LCD자전거
SPB-06552,2017-09-01 00:41:35,00113,홍대입구역 2번출구 앞,5,2017-09-01 00:46:14,00116,일진아이윌아파트 옆,5,4,1020.00,1981,M,내국인,ST-18,ST-14,LCD자전거
SPB-08513,2017-09-01 00:05:34,01124,발산역 6번 출구 뒤,8,2017-09-01 00:46:22,01110,공항중학교앞,6,38,480.00,\N,M,비회원,ST-522,ST-828,LCD자전거
SPB-04570,2017-09-01 00:41:39,00198,충정2교,4,2017-09-01 00:46:26,00160,북아현동 가구거리,7,4,740.00,1988,F,내국인,ST-354,ST-217,LCD자전거
SPB-00496,2017-09-01 00:28:26,00383,신당역 12번 출구 뒤,7,2017-09-01 00:46:33,00374,신당동주민센터앞,7,17,1420.00,1977,M,내국인,ST-198,ST-189,LCD자전거
SPB-09495,2017-09-01 00:24:53,00700,KB국민은행 염창역 지점 앞,19,2017-09-01 00:46:36,01141,곰달래 문화복지센터 A,8,20,2490.00,1989,F,내국인,ST-308,ST-535,LCD자전거
SPB-11433,2017-09-01 00:29:22,01906,신도림역 1번 출구 앞,3,2017-09-01 00:46:37,01908,해원리바파크 육교 밑,1,16,2100.00,1990,F,내국인,ST-664,ST-666,LCD자전거
SPB-03852,2017-09-01 00:32:25,00607,신이문역 2번출구,8,2017-09-01 00:46:42,01433,중화역 2번출구,7,13,2320.00,1994,M,내국인,ST-267,ST-857,LCD자전거
SPB-06314,2017-09-01 00:26:27,00383,신당역 12번 출구 뒤,4,2017-09-01 00:46:47,00361,동묘앞역 1번출구 뒤,4,19,2780.00,1979,F,내국인,ST-198,ST-175,LCD자전거
SPB-09107,2017-09-01 00:30:59,00634,외국어대 정문 앞,5,2017-09-01 00:46:51,00624,전농동 동아아파트 앞,1,14,1050.00,1992,M,내국인,ST-401,ST-392,LCD자전거
SPB-07148,2017-09-01 00:36:41,00635,시조사 앞,9,2017-09-01 00:46:57,00624,전농동 동아아파트 앞,10,9,1880.00,1991,M,내국인,ST-402,ST-392,LCD자전거
SPB-10078,2017-09-01 00:18:43,02050,노량진역 5번출구,3,2017-09-01 00:46:57,00817,삼각지역 4번출구 앞,9,26,640.00,1994,M,내국인,ST-699,ST-436,LCD자전거
SPB-02812,2017-09-01 00:41:13,00126,서강대 후문 옆,1,2017-09-01 00:46:59,00127,현대벤처빌 앞,4,5,0.00,1998,F,내국인,ST-28,ST-29,LCD자전거
SPB-11401,2017-09-01 00:39:06,01953,천왕역 4번출구 뒤,7,2017-09-01 00:47:01,01951,천왕이펜하우스 4단지 후문,16,7,190.00,1985,M,내국인,ST-876,ST-874,LCD자전거
SPB-06881,2017-09-01 00:01:58,00923,국민은행 연서지점,1,2017-09-01 00:47:03,00933,역촌종합시장 버스정류장(예일여고 방면),6,44,1940.00,1988,F,내국인,ST-471,ST-481,LCD자전거
SPB-00731,2017-09-01 00:37:58,01953,천왕역 4번출구 뒤,5,2017-09-01 00:47:04,01951,천왕이펜하우스 4단지 후문,18,8,1270.00,1990,F,내국인,ST-876,ST-874,LCD자전거
SPB-05299,2017-09-01 00:42:42,00378,청계7가 사거리,6,2017-09-01 00:47:19,00568,청계8가 사거리 B,6,4,800.00,1990,M,내국인,ST-193,ST-369,LCD자전거
SPB-00583,2017-09-01 00:43:23,00359,원남동사거리,3,2017-09-01 00:47:20,00339,종로4가 사거리,2,3,580.00,1992,M,내국인,ST-174,ST-155,LCD자전거
SPB-06119,2017-09-01 00:28:37,00609,제기2교,1,2017-09-01 00:47:21,01308,안암로터리 버스정류장 앞,8,18,2130.00,1995,M,내국인,ST-269,ST-827,LCD자전거
SPB-11944,2017-09-01 00:15:29,02050,노량진역 5번출구,6,2017-09-01 00:47:28,02003,사육신공원앞,6,31,4460.00,1991,F,내국인,ST-699,ST-877,LCD자전거
SPB-11840,2017-09-01 00:38:02,00259,대방역6번출구,3,2017-09-01 00:47:30,02016,신대방삼거리역 3번출구쪽,4,9,1660.00,1988,M,내국인,ST-307,ST-688,LCD자전거
SPB-02611,2017-09-01 00:24:27,00503,더샵스타시티 C동 앞,2,2017-09-01 00:47:42,00548,자양나들목,11,22,5050.00,1984,M,내국인,ST-100,ST-258,LCD자전거
SPB-06638,2017-09-01 00:37:47,00641,용두역 4번출구,10,2017-09-01 00:47:47,00559,왕십리역 4번 출구 건너편,4,9,1570.00,1956,M,내국인,ST-408,ST-360,LCD자전거
SPB-03380,2017-09-01 00:36:15,00500,어린이대공원역 3번출구 앞,4,2017-09-01 00:47:51,00574,아차산역4번출구,2,11,2420.00,1992,M,내국인,ST-97,ST-385,LCD자전거
SPB-04928,2017-09-01 00:32:39,02302,교보타워 버스정류장(신논현역 3번출구 후면),5,2017-09-01 00:47:56,02353,강남구청역 2번출구 뒤,6,14,0.00,\N,\N,비회원,ST-787,ST-963,LCD자전거
SPB-02872,2017-09-01 00:17:27,00446,상명대입구,10,2017-09-01 00:47:58,00446,상명대입구,1,30,6760.00,1995,M,내국인,ST-938,ST-938,LCD자전거
SPB-11656,2017-09-01 00:41:57,00932,예일여중,1,2017-09-01 00:47:58,00907,CJ 드림시티,1,5,810.00,1990,M,내국인,ST-480,ST-455,LCD자전거
SPB-12043,2017-09-01 00:42:55,00524,래미안금호하이리버 아파트 102동 옆,10,2017-09-01 00:48:05,00524,래미안금호하이리버 아파트 102동 옆,10,5,620.00,1997,M,내국인,ST-240,ST-240,LCD자전거
SPB-12069,2017-09-01 00:40:05,01221,삼전역 4번출구,2,2017-09-01 00:48:06,01222,잠실새내역 5번 출구 뒤,2,7,340.00,1966,M,내국인,ST-933,ST-547,LCD자전거
SPB-12409,2017-09-01 00:42:21,02302,교보타워 버스정류장(신논현역 3번출구 후면),5,2017-09-01 00:48:08,02303,논현역 10번출구,13,5,120.00,1977,M,내국인,ST-787,ST-788,LCD자전거
SPB-06549,2017-09-01 00:36:04,02038,동작역 7번출구,7,2017-09-01 00:48:14,02032,이수역 11번출구쪽,2,11,2630.00,1991,M,내국인,ST-696,ST-923,LCD자전거
SPB-04846,2017-09-01 00:36:01,01911,구로디지털단지역 앞,8,2017-09-01 00:48:14,01830,빅마켓 금천점 앞,10,11,2090.00,1995,M,내국인,ST-668,ST-637,LCD자전거
SPB-05582,2017-09-01 00:43:21,00230,영등포구청역 7번출구,2,2017-09-01 00:48:16,00232,양평우림 이비즈센타 앞,1,4,840.00,1981,F,내국인,ST-413,ST-281,LCD자전거
SPB-01831,2017-09-01 00:35:46,02038,동작역 7번출구,9,2017-09-01 00:48:18,02032,이수역 11번출구쪽,4,12,2670.00,1991,M,내국인,ST-696,ST-923,LCD자전거
SPB-02091,2017-09-01 00:42:15,00259,대방역6번출구,6,2017-09-01 00:48:19,00223,진주아파트상가 앞,19,5,1130.00,1971,M,내국인,ST-307,ST-69,LCD자전거
SPB-03119,2017-09-01 00:36:01,02038,동작역 7번출구,8,2017-09-01 00:48:27,02032,이수역 11번출구쪽,3,12,2670.00,1993,M,내국인,ST-696,ST-923,LCD자전거
SPB-03768,2017-09-01 00:36:05,00585,성수2가1동 공영주차장 인근,6,2017-09-01 00:48:30,00567,성수역 2번출구 앞,6,12,1530.00,1971,F,내국인,ST-446,ST-368,LCD자전거
SPB-03877,2017-09-01 00:28:39,00173,서대문역 8번출구 앞,1,2017-09-01 00:48:36,00334,종로3가역 2번출구 뒤,3,19,2800.00,1990,F,내국인,ST-230,ST-150,LCD자전거
SPB-03020,2017-09-01 00:43:13,00359,원남동사거리,5,2017-09-01 00:48:36,00344,성균관대 E하우스 앞,1,5,960.00,1998,F,내국인,ST-174,ST-160,LCD자전거
SPB-02555,2017-09-01 00:13:56,00514,성수사거리 버스정류장 앞,5,2017-09-01 00:48:38,00530,청계벽산아파트 앞,5,34,6500.00,1991,M,내국인,ST-112,ST-244,LCD자전거
SPB-01002,2017-09-01 00:43:35,00150,서강대역 2번출구 앞,4,2017-09-01 00:48:40,00118,광흥창역 2번출구 앞,5,4,720.00,1995,M,내국인,ST-207,ST-19,LCD자전거
SPB-03035,2017-09-01 00:16:51,00102,망원역 1번출구 앞,12,2017-09-01 00:48:46,00131,증산2교,6,31,4750.00,1987,M,내국인,ST-4,ST-33,LCD자전거
SPB-05550,2017-09-01 00:39:14,00530,청계벽산아파트 앞,5,2017-09-01 00:48:52,00525,한양대병원사거리,11,9,2030.00,1994,M,내국인,ST-244,ST-241,LCD자전거
SPB-09302,2017-09-01 00:39:03,00116,일진아이윌아파트 옆,5,2017-09-01 00:48:53,00192,연서어린이공원,10,8,910.00,1987,F,내국인,ST-14,ST-348,LCD자전거
SPB-01606,2017-09-01 00:40:02,00361,동묘앞역 1번출구 뒤,8,2017-09-01 00:49:04,00363,신설동역 11번출구 뒤,7,8,730.00,1983,F,내국인,ST-175,ST-177,LCD자전거
SPB-06368,2017-09-01 00:16:18,99998,상암센터,15,2017-09-01 00:49:09,00117,홍은사거리,4,32,5780.00,1995,F,내국인,ST-34,ST-17,LCD자전거
SPB-11620,2017-09-01 00:47:04,00103,망원역 2번출구 앞,1,2017-09-01 00:49:12,00103,망원역 2번출구 앞,1,2,0.00,1973,M,내국인,ST-5,ST-5,LCD자전거
SPB-01581,2017-09-01 00:37:32,00816,신용산역 6번출구 앞,8,2017-09-01 00:49:20,00800,목월공원 앞,6,11,1550.00,1984,F,내국인,ST-435,ST-322,LCD자전거
SPB-11280,2017-09-01 00:45:28,00589,성수역3번출구,5,2017-09-01 00:49:26,00585,성수2가1동 공영주차장 인근,5,3,850.00,1974,M,내국인,ST-506,ST-446,LCD자전거
SPB-11846,2017-09-01 00:29:38,00341,혜화역 3번출구 뒤,2,2017-09-01 00:49:33,00364,창신역 1번출구 앞,4,19,720.00,1994,F,내국인,ST-157,ST-178,LCD자전거
SPB-05377,2017-09-01 00:38:22,00816,신용산역 6번출구 앞,6,2017-09-01 00:49:43,00800,목월공원 앞,1,11,1570.00,1981,M,내국인,ST-435,ST-322,LCD자전거
SPB-07779,2017-09-01 00:41:57,00211,여의도역 4번출구 옆,13,2017-09-01 00:49:45,00203,국회의사당역 3번출구 옆,11,7,440.00,1970,F,내국인,ST-57,ST-51,LCD자전거
SPB-05618,2017-09-01 00:35:43,00549,아차산역 3번출구,4,2017-09-01 00:49:46,00515,광양중학교 앞,1,13,2760.00,1977,M,내국인,ST-259,ST-113,LCD자전거
SPB-04069,2017-09-01 00:24:40,00706,신정네거리역,15,2017-09-01 00:49:48,00244,영등포삼환아파트 앞,1,24,6800.00,\N,M,비회원,ST-313,ST-293,LCD자전거
SPB-07259,2017-09-01 00:45:12,00110,사천교,2,2017-09-01 00:49:52,00170,DMC파크뷰자이아파트 302동 앞,1,4,860.00,1974,M,내국인,ST-13,ST-227,LCD자전거
SPB-11573,2017-09-01 00:19:47,00144,공덕역 8번출구,1,2017-09-01 00:49:56,00169,북가좌 삼거리,11,28,450.00,1958,M,내국인,ST-202,ST-226,LCD자전거
SPB-11566,2017-09-01 00:35:49,01411,상봉시장앞 교차로 한성빌딩 앞,10,2017-09-01 00:49:58,00602,장안동 사거리,10,13,2030.00,1969,M,내국인,ST-912,ST-262,LCD자전거
SPB-04341,2017-09-01 00:00:27,00152,마포구민체육센터 앞,28,2017-09-01 00:50:10,00176,명지대학교 도서관,2,49,6110.00,1991,F,내국인,ST-209,ST-555,LCD자전거
SPB-04969,2017-09-01 00:20:35,00588,뚝섬 유원지역,3,2017-09-01 00:50:10,00562,군자지하보도 앞,10,29,3740.00,1989,F,내국인,ST-483,ST-363,LCD자전거
SPB-00753,2017-09-01 00:36:21,00509,이마트 버스정류소 옆,1,2017-09-01 00:50:14,00504,신자초교입구교차로,5,13,2310.00,1992,F,내국인,ST-106,ST-101,LCD자전거
SPB-05321,2017-09-01 00:38:34,01433,중화역 2번출구,5,2017-09-01 00:50:20,01401,극동늘푸른아파트,1,11,1590.00,1991,M,내국인,ST-857,ST-558,LCD자전거
SPB-11659,2017-09-01 00:40:01,00127,현대벤처빌 앞,13,2017-09-01 00:50:24,00148,용강동 주민센터 앞,6,10,1550.00,1991,M,내국인,ST-29,ST-206,LCD자전거
SPB-05029,2017-09-01 00:36:55,02321,학여울역 사거리,3,2017-09-01 00:50:30,02335,3호선 매봉역 3번출구앞,4,13,3410.00,1991,M,내국인,ST-804,ST-818,LCD자전거
SPB-06330,2017-09-01 00:24:16,01303,돈암초교 입구,6,2017-09-01 00:50:31,01304,만해공원,6,25,2780.00,1987,M,내국인,ST-931,ST-826,LCD자전거
SPB-03047,2017-09-01 00:00:49,00152,마포구민체육센터 앞,27,2017-09-01 00:50:39,00176,명지대학교 도서관,10,49,6350.00,\N,\N,비회원,ST-209,ST-555,LCD자전거
